net,length_um
net4,30.62µm
clknet_0_i_clk,27.86µm
net5,27.7µm
net28,24.28µm
net3,23.3µm
net21,23.04µm
net6,20.92µm
i_clk,20.31µm
net26,20.08µm
net16,15.53µm
net1,14.5µm
clknet_1_1__leaf_i_clk,14.5µm
uo_out[1],12.58µm
uo_out[2],12.58µm
net11,12.45µm
uo_out[3],12.12µm
uo_out[0],11.56µm
clknet_1_0__leaf_i_clk,11.2µm
net23,11µm
net14,10.41µm
net7,10.33µm
_01_,10.28µm
net24,10.08µm
net25,10.08µm
net15,10.05µm
_05_,9.36µm
net18,8.71µm
net31,8.14µm
_03_,7.8µm
i_rst_n,7.79µm
net2,6.94µm
net22,6.69µm
net27,6.26µm
net20,6.23µm
net8,5.97µm
i_ena,5.29µm
net13,5.29µm
net9,4.61µm
net10,4.61µm
net12,4.39µm
net17,4.39µm
net19,4.39µm
_02_,4.36µm
_00_,4µm
net30,3.845µm
_04_,3.68µm
_06_,2.38µm
_07_,2.04µm
net29,0.46µm
