Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_8_20,VPWR,li1,15.6400,35.3600,1.799969
FILLER_8_13,VPWR,li1,12.4200,35.3600,1.799969
FILLER_8_9,VPWR,li1,9.8900,35.3600,1.799969
FILLER_7_22,VPWR,li1,16.5600,29.9200,1.799942
FILLER_7_16,VPWR,li1,13.1100,29.9200,1.799942
FILLER_7_12,VPWR,li1,11.9600,29.9200,1.799942
FILLER_6_50,VPWR,li1,28.9800,29.9200,1.799935
FILLER_6_29,VPWR,li1,19.0900,29.9200,1.799943
FILLER_6_27,VPWR,li1,18.1700,29.9200,1.799943
FILLER_6_11,VPWR,li1,10.8100,29.9200,1.799942
FILLER_6_3,VPWR,li1,8.7400,29.9200,1.799942
FILLER_5_37,VPWR,li1,23.0000,24.4800,1.799953
FILLER_5_14,VPWR,li1,12.6500,24.4800,1.799946
FILLER_4_24,VPWR,li1,17.4800,24.4800,1.799948
FILLER_4_6,VPWR,li1,9.2000,24.4800,1.799946
FILLER_3_35,VPWR,li1,21.8500,19.0400,1.799983
FILLER_3_31,VPWR,li1,20.7000,19.0400,1.799983
FILLER_3_19,VPWR,li1,17.0200,19.0400,1.799980
FILLER_3_11,VPWR,li1,11.0400,19.0400,1.799980
FILLER_3_3,VPWR,li1,8.7400,19.0400,1.799980
FILLER_2_25,VPWR,li1,17.7100,19.0400,1.799981
FILLER_2_6,VPWR,li1,11.0400,19.0400,1.799980
FILLER_1_48,VPWR,li1,27.8300,13.6000,1.799957
FILLER_1_42,VPWR,li1,26.2200,13.6000,1.799957
FILLER_1_6,VPWR,li1,10.1200,13.6000,1.799951
FILLER_0_49,VPWR,li1,28.7500,13.6000,1.799957
FILLER_0_24,VPWR,li1,17.4800,13.6000,1.799951
FILLER_0_12,VPWR,li1,13.8000,13.6000,1.799951
hold5,VPWR,li1,23.0000,13.6000,1.799957
hold4,VPWR,li1,21.1600,29.9200,1.799948
hold3,VPWR,li1,8.7400,24.4800,1.799946
hold2,VPWR,li1,23.9200,19.0400,1.799980
hold1,VPWR,li1,27.6000,19.0400,1.799980
clkbuf_1_1__f_i_clk,VPWR,li1,23.4600,35.3600,1.799970
clkbuf_1_0__f_i_clk,VPWR,li1,23.4600,13.6000,1.799957
clkbuf_0_i_clk,VPWR,li1,23.4600,24.4800,1.799953
tt_if_7,VPWR,li1,25.5300,29.9200,1.799938
output6,VPWR,li1,28.5200,29.9200,1.799935
output5,VPWR,li1,18.4000,29.9200,1.799943
output4,VPWR,li1,23.9200,29.9200,1.799938
output3,VPWR,li1,17.4800,35.3600,1.799969
input2,VPWR,li1,27.1400,24.4800,1.799953
input1,VPWR,li1,11.2700,24.4800,1.799946
tt_if_26,VPWR,li1,24.1500,24.4800,1.799953
tt_if_25,VPWR,li1,14.0300,35.3600,1.799969
tt_if_24,VPWR,li1,10.8100,35.3600,1.799969
tt_if_23,VPWR,li1,7.5900,35.3600,1.799969
tt_if_22,VPWR,li1,10.3500,29.9200,1.799942
tt_if_21,VPWR,li1,28.7500,24.4800,1.799953
tt_if_20,VPWR,li1,26.9100,29.9200,1.799935
tt_if_19,VPWR,li1,28.7500,35.3600,1.799970
tt_if_18,VPWR,li1,8.9700,29.9200,1.799942
tt_if_17,VPWR,li1,28.7500,13.6000,1.799957
tt_if_16,VPWR,li1,10.3500,13.6000,1.799951
tt_if_15,VPWR,li1,7.5900,29.9200,1.799942
tt_if_14,VPWR,li1,8.9700,13.6000,1.799951
tt_if_13,VPWR,li1,7.5900,13.6000,1.799951
tt_if_12,VPWR,li1,28.7500,19.0400,1.799980
tt_if_11,VPWR,li1,8.9700,35.3600,1.799969
tt_if_10,VPWR,li1,7.5900,13.6000,1.799951
tt_if_9,VPWR,li1,7.5900,19.0400,1.799980
tt_if_8,VPWR,li1,7.5900,24.4800,1.799946
TAP_TAPCELL_ROW_8_22,VPWR,li1,18.6300,35.0530,1.799969
TAP_TAPCELL_ROW_6_21,VPWR,li1,18.6300,29.6130,1.799943
TAP_TAPCELL_ROW_4_20,VPWR,li1,18.6300,24.1730,1.799948
TAP_TAPCELL_ROW_2_19,VPWR,li1,18.6300,18.7330,1.799981
TAP_TAPCELL_ROW_0_18,VPWR,li1,18.6300,13.2930,1.799953
PHY_EDGE_ROW_8_Left_17,VPWR,li1,6.2100,35.3600,1.799969
PHY_EDGE_ROW_7_Left_16,VPWR,li1,6.2100,29.9200,1.799942
PHY_EDGE_ROW_6_Left_15,VPWR,li1,6.2100,29.9200,1.799942
PHY_EDGE_ROW_5_Left_14,VPWR,li1,6.2100,24.4800,1.799946
PHY_EDGE_ROW_4_Left_13,VPWR,li1,6.2100,24.4800,1.799946
PHY_EDGE_ROW_3_Left_12,VPWR,li1,6.2100,19.0400,1.799980
PHY_EDGE_ROW_2_Left_11,VPWR,li1,6.2100,19.0400,1.799980
PHY_EDGE_ROW_1_Left_10,VPWR,li1,6.2100,13.6000,1.799951
PHY_EDGE_ROW_0_Left_9,VPWR,li1,6.2100,13.6000,1.799951
PHY_EDGE_ROW_8_Right_8,VPWR,li1,30.1300,35.3600,1.799970
PHY_EDGE_ROW_7_Right_7,VPWR,li1,30.1300,29.9200,1.799935
PHY_EDGE_ROW_6_Right_6,VPWR,li1,30.1300,29.9200,1.799935
PHY_EDGE_ROW_5_Right_5,VPWR,li1,30.1300,24.4800,1.799953
PHY_EDGE_ROW_4_Right_4,VPWR,li1,30.1300,24.4800,1.799953
PHY_EDGE_ROW_3_Right_3,VPWR,li1,30.1300,19.0400,1.799980
