Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_8_20,VGND,li1,15.6400,32.6400,0.000076
FILLER_8_13,VGND,li1,12.4200,32.6400,0.000076
FILLER_8_9,VGND,li1,9.8900,32.6400,0.000076
FILLER_7_22,VGND,li1,16.5600,32.6400,0.000076
FILLER_7_16,VGND,li1,13.1100,32.6400,0.000076
FILLER_7_12,VGND,li1,11.9600,32.6400,0.000076
FILLER_6_50,VGND,li1,28.9800,27.2000,0.000025
FILLER_6_29,VGND,li1,19.0900,27.2000,0.000037
FILLER_6_27,VGND,li1,18.1700,27.2000,0.000037
FILLER_6_11,VGND,li1,10.8100,27.2000,0.000040
FILLER_6_3,VGND,li1,8.7400,27.2000,0.000040
FILLER_5_37,VGND,li1,23.0000,27.2000,0.000031
FILLER_5_14,VGND,li1,12.6500,27.2000,0.000040
FILLER_4_24,VGND,li1,17.4800,21.7600,0.000046
FILLER_4_6,VGND,li1,9.2000,21.7600,0.000049
FILLER_3_35,VGND,li1,21.8500,21.7600,0.000044
FILLER_3_31,VGND,li1,20.7000,21.7600,0.000044
FILLER_3_19,VGND,li1,17.0200,21.7600,0.000046
FILLER_3_11,VGND,li1,11.0400,21.7600,0.000049
FILLER_3_3,VGND,li1,8.7400,21.7600,0.000049
FILLER_2_25,VGND,li1,17.7100,16.3200,0.000043
FILLER_2_6,VGND,li1,11.0400,16.3200,0.000046
FILLER_1_48,VGND,li1,27.8300,16.3200,0.000029
FILLER_1_42,VGND,li1,26.2200,16.3200,0.000029
FILLER_1_6,VGND,li1,10.1200,16.3200,0.000046
FILLER_0_49,VGND,li1,28.7500,10.8800,0.000027
FILLER_0_24,VGND,li1,17.4800,10.8800,0.000027
FILLER_0_12,VGND,li1,13.8000,10.8800,0.000027
hold5,VGND,li1,23.0000,16.3200,0.000036
hold4,VGND,li1,21.1600,32.6400,0.000070
hold3,VGND,li1,8.7400,27.2000,0.000040
hold2,VGND,li1,23.9200,21.7600,0.000042
hold1,VGND,li1,27.6000,21.7600,0.000042
clkbuf_1_1__f_i_clk,VGND,li1,23.4600,32.6400,0.000066
clkbuf_1_0__f_i_clk,VGND,li1,23.4600,10.8800,0.000027
clkbuf_0_i_clk,VGND,li1,23.4600,21.7600,0.000042
tt_if_7,VGND,li1,25.5300,32.6400,0.000068
output6,VGND,li1,28.5200,32.6400,0.000071
output5,VGND,li1,18.4000,32.6400,0.000075
output4,VGND,li1,23.9200,32.6400,0.000066
output3,VGND,li1,17.4800,32.6400,0.000075
input2,VGND,li1,27.1400,27.2000,0.000026
input1,VGND,li1,11.2700,27.2000,0.000040
tt_if_26,VGND,li1,24.1500,27.2000,0.000031
tt_if_25,VGND,li1,14.0300,32.6400,0.000076
tt_if_24,VGND,li1,10.8100,32.6400,0.000076
tt_if_23,VGND,li1,7.5900,32.6400,0.000076
tt_if_22,VGND,li1,10.3500,32.6400,0.000076
tt_if_21,VGND,li1,28.7500,21.7600,0.000042
tt_if_20,VGND,li1,26.9100,32.6400,0.000068
tt_if_19,VGND,li1,28.7500,32.6400,0.000071
tt_if_18,VGND,li1,8.9700,32.6400,0.000076
tt_if_17,VGND,li1,28.7500,16.3200,0.000029
tt_if_16,VGND,li1,10.3500,10.8800,0.000027
tt_if_15,VGND,li1,7.5900,32.6400,0.000076
tt_if_14,VGND,li1,8.9700,10.8800,0.000027
tt_if_13,VGND,li1,7.5900,10.8800,0.000027
tt_if_12,VGND,li1,28.7500,16.3200,0.000029
tt_if_11,VGND,li1,8.9700,32.6400,0.000076
tt_if_10,VGND,li1,7.5900,16.3200,0.000046
tt_if_9,VGND,li1,7.5900,16.3200,0.000046
tt_if_8,VGND,li1,7.5900,21.7600,0.000049
TAP_TAPCELL_ROW_8_22,VGND,li1,18.6300,32.9310,0.000075
TAP_TAPCELL_ROW_6_21,VGND,li1,18.6300,27.4910,0.000037
TAP_TAPCELL_ROW_4_20,VGND,li1,18.6300,22.0510,0.000046
TAP_TAPCELL_ROW_2_19,VGND,li1,18.6300,16.6110,0.000043
TAP_TAPCELL_ROW_0_18,VGND,li1,18.6300,11.1710,0.000027
PHY_EDGE_ROW_8_Left_17,VGND,li1,6.2100,32.6400,0.000076
PHY_EDGE_ROW_7_Left_16,VGND,li1,6.2100,32.6400,0.000076
PHY_EDGE_ROW_6_Left_15,VGND,li1,6.2100,27.2000,0.000040
PHY_EDGE_ROW_5_Left_14,VGND,li1,6.2100,27.2000,0.000040
PHY_EDGE_ROW_4_Left_13,VGND,li1,6.2100,21.7600,0.000049
PHY_EDGE_ROW_3_Left_12,VGND,li1,6.2100,21.7600,0.000049
PHY_EDGE_ROW_2_Left_11,VGND,li1,6.2100,16.3200,0.000046
PHY_EDGE_ROW_1_Left_10,VGND,li1,6.2100,16.3200,0.000046
PHY_EDGE_ROW_0_Left_9,VGND,li1,6.2100,10.8800,0.000027
PHY_EDGE_ROW_8_Right_8,VGND,li1,30.1300,32.6400,0.000071
PHY_EDGE_ROW_7_Right_7,VGND,li1,30.1300,32.6400,0.000071
PHY_EDGE_ROW_6_Right_6,VGND,li1,30.1300,27.2000,0.000025
PHY_EDGE_ROW_5_Right_5,VGND,li1,30.1300,27.2000,0.000025
PHY_EDGE_ROW_4_Right_4,VGND,li1,30.1300,21.7600,0.000042
PHY_EDGE_ROW_3_Right_3,VGND,li1,30.1300,21.7600,0.000042
PHY_EDGE_ROW_2_Right_2,VGND,li1,30.1300,16.3200,0.000029
PHY_EDGE_ROW_1_Right_1,VGND,li1,30.1300,16.3200,0.000029
PHY_EDGE_ROW_0_Right_0,VGND,li1,30.1300,10.8800,0.000027
_19_,VGND,li1,17.9400,27.2000,0.000039
_18_,VGND,li1,23.4600,16.3200,0.000036
_17_,VGND,li1,16.5600,16.3200,0.000046
_16_,VGND,li1,23.9200,27.2000,0.000031
_15_,VGND,li1,13.5700,27.2000,0.000040
_14_,VGND,li1,14.4900,32.6400,0.000076
_13_,VGND,li1,15.4100,16.3200,0.000046
_12_,VGND,li1,12.8800,21.7600,0.000048
_11_,VGND,li1,11.7300,21.7600,0.000049
_10_,VGND,li1,14.9500,21.7600,0.000047
_09_,VGND,li1,16.3300,27.2000,0.000039
_08_,VGND,li1,11.7300,27.2000,0.000040
